paper,rock,win
rock,rock,draw
rock,scissors,win
rock,rock,draw
rock,scissors,win
rock,paper,
rock,paper,
rock,rock,draw
rock,scissors,win
rock,scissors,win
rock,rock,draw
rock,paper,
rock,paper,
rock,rock,draw
rock,scissors,win
rock,rock,draw
rock,paper,
rock,paper,
rock,paper,
rock,rock,draw
rock,scissors,win
paper,scissors,
rock,rock,draw
rock,rock,draw
rock,scissors,win
rock,paper,
rock,rock,draw
paper,paper,draw
scissors,paper,win
rock,scissors,win
rock,scissors,win
rock,rock,draw
rock,scissors,win
rock,paper,
rock,rock,draw
rock,rock,draw
rock,scissors,win
